"city","date","day.of.week","time","time.hour","lat","lng","subject.age","subject.race","subject.sex","violation","outcome","vehicle.make","vehicle.colour","vehicle.year"
"sa","2016-10-24","Monday","12:35:00",12.5833333333333,29.3638748,-98.5214317,19,"black","male","SPEEDING-POSTED LIMIT","citation","ford","white",2015
"sa","2014-01-24","Friday","18:30:00",18.5,29.4239956,-98.3970726,35,"hispanic","female","AUTHORIZE OR KNOWINGLY PERMIT UNAUTHORIZED PERSON TO DRIVE|FAILURE TO DISPLAY VALID REGISTRATION INSIGNIA (STICKER)","citation","chevrolet","other",2007
"sa","2020-06-18","Thursday","06:28:00",6.46666666666667,29.5650883,-98.5917656,31,"hispanic","male","OPERATING A MOTOR VEHICLE WITHOUT A VALID LICENSE|SPEEDING-POSTED LIMIT","citation","chevrolet","white",2014
"sa","2020-05-22","Friday","14:58:00",14.9666666666667,29.402241,-98.6230975,49,"hispanic","female","SPEEDING-POSTED LIMIT","citation","other","white",2014
"sa","2019-03-23","Saturday","09:42:00",9.7,29.5204208,-98.4897358,44,"hispanic","male","SPEEDING-POSTED LIMIT|UNSAFE SPEED","citation","toyota","black",2016
"sa","2017-08-15","Tuesday","10:04:00",10.0666666666667,29.5027572,-98.3987597,39,"hispanic","male","SPEEDING-POSTED LIMIT","citation","other","other",2003
"sa","2013-07-02","Tuesday","10:40:00",10.6666666666667,29.4169091,-98.4800119,38,"hispanic","male","SPEEDING-POSTED LIMIT","citation","other","white",1998
"sa","2015-12-08","Tuesday","10:44:00",10.7333333333333,29.362938,-98.4447572,18,"hispanic","male","OPERATING A MOTOR VEHICLE WITHOUT A VALID LICENSE|SPEEDING-POSTED LIMIT|DRIVING WITHOUT PROOF OF FINANCIAL RESPONSIBILITY","citation","honda","silver",2002
"sa","2018-05-24","Thursday","12:54:00",12.9,29.4614209,-98.5226778,20,"hispanic","female","IMPROPER USE OR FAILURE TO USE SAFETY BELT BY PERSON 15 YEARS OLD OR OLDER","citation","chevrolet","silver",2012
"sa","2012-10-24","Wednesday","21:04:00",21.0666666666667,29.5201085,-98.4913626,22,"white","male","SPEEDING-POSTED LIMIT|DRIVING WITHOUT PROOF OF FINANCIAL RESPONSIBILITY","citation","chevrolet","white",2012
"sa","2019-07-06","Saturday","08:41:00",8.68333333333333,29.5102525,-98.5371682,26,"hispanic","female","SPEEDING-POSTED LIMIT","citation","other","silver",2018
"sa","2018-08-27","Monday","14:43:00",14.7166666666667,29.3795562,-98.512713,30,"white","male","SPEEDING-POSTED LIMIT","citation","chevrolet","black",2017
"sa","2020-05-19","Tuesday","08:58:00",8.96666666666667,29.5650883,-98.5917656,26,"hispanic","male","SPEEDING-POSTED LIMIT|FAILURE TO DISPLAY DRIVER'S LICENSE|FAIL TO CHANGE ADDRESS ON LICENSE","citation","other","other",2013
"sa","2012-05-20","Sunday","15:31:00",15.5166666666667,29.5154882,-98.3959056,42,"white","female","SPEEDING-POSTED LIMIT","citation","other","other",2011
"sa","2012-03-22","Thursday","23:45:00",23.75,29.5482042,-98.4852699,28,"hispanic","male","POSSESSION OF OPEN CONTAINER","citation","other","other",1988
"sa","2013-10-21","Monday","15:45:00",15.75,29.4378536,-98.381957,48,"white","male","SPEEDING-POSTED LIMIT","citation","other","silver",2004
"sa","2017-10-09","Monday","14:01:00",14.0166666666667,29.3528029,-98.5290482,24,"hispanic","male","DRIVING WITHOUT PROOF OF FINANCIAL RESPONSIBILITY|SPEEDING IN SCHOOL ZONE|FAILURE TO DISPLAY DRIVER'S LICENSE","citation","chevrolet","other",1998
"sa","2015-11-25","Wednesday","10:52:00",10.8666666666667,29.3728036,-98.5152554,40,"hispanic","male","SPEEDING-POSTED LIMIT|FAILURE TO DISPLAY DRIVER'S LICENSE","citation","ford","other",1997
"sa","2017-05-02","Tuesday","21:15:00",21.25,29.3690589,-98.6007581,62,"hispanic","male","DRIVING WITHOUT PROOF OF FINANCIAL RESPONSIBILITY","citation","chevrolet","black",2008
"sa","2016-03-03","Thursday","20:30:00",20.5,29.4247962,-98.4816434,43,"white","female","SPEEDING-POSTED LIMIT|FAIL TO CHANGE ADDRESS ON LICENSE","citation","toyota","silver",2004
